impl,N,d,iters,sparsity,granularity,seed,label,ms_per_iter,sddmm_ms,softmax_ms,spmm_ms,returncode
sparse,1024,768,10,0.5,1,0,Transformer Sparse (matmul.cu SDDMM),3.638,0.262,0.136,0.683,0
sparse,1024,768,10,0.5,1,1,Transformer Sparse (matmul.cu SDDMM),3.645,0.262,0.133,0.681,0
sparse,1024,768,10,0.5,1,2,Transformer Sparse (matmul.cu SDDMM),3.647,0.26,0.141,0.673,0
sparse,1024,768,10,0.5,2,0,Transformer Sparse (matmul.cu SDDMM),2.255,0.195,0.13,0.349,0
sparse,1024,768,10,0.5,2,1,Transformer Sparse (matmul.cu SDDMM),2.259,0.195,0.13,0.348,0
sparse,1024,768,10,0.5,2,2,Transformer Sparse (matmul.cu SDDMM),2.26,0.195,0.137,0.348,0
sparse,1024,768,10,0.5,8,0,Transformer Sparse (matmul.cu SDDMM),1.433,0.19,0.13,0.215,0
sparse,1024,768,10,0.5,8,1,Transformer Sparse (matmul.cu SDDMM),1.44,0.188,0.131,0.217,0
sparse,1024,768,10,0.5,8,2,Transformer Sparse (matmul.cu SDDMM),1.452,0.193,0.142,0.213,0
sparse,1024,768,10,0.5,32,0,Transformer Sparse (matmul.cu SDDMM),1.36,0.183,0.128,0.161,0
sparse,1024,768,10,0.5,32,1,Transformer Sparse (matmul.cu SDDMM),1.355,0.18,0.129,0.163,0
sparse,1024,768,10,0.5,32,2,Transformer Sparse (matmul.cu SDDMM),1.357,0.182,0.132,0.161,0
sparse,1024,768,10,0.9,1,0,Transformer Sparse (matmul.cu SDDMM),2.616,0.152,0.129,0.163,0
sparse,1024,768,10,0.9,1,1,Transformer Sparse (matmul.cu SDDMM),2.634,0.154,0.134,0.164,0
sparse,1024,768,10,0.9,1,2,Transformer Sparse (matmul.cu SDDMM),2.61,0.15,0.132,0.161,0
sparse,1024,768,10,0.9,2,0,Transformer Sparse (matmul.cu SDDMM),1.753,0.111,0.138,0.086,0
sparse,1024,768,10,0.9,2,1,Transformer Sparse (matmul.cu SDDMM),1.753,0.111,0.132,0.088,0
sparse,1024,768,10,0.9,2,2,Transformer Sparse (matmul.cu SDDMM),1.75,0.113,0.129,0.087,0
sparse,1024,768,10,0.9,8,0,Transformer Sparse (matmul.cu SDDMM),1.085,0.082,0.124,0.058,0
sparse,1024,768,10,0.9,8,1,Transformer Sparse (matmul.cu SDDMM),1.083,0.088,0.133,0.059,0
sparse,1024,768,10,0.9,8,2,Transformer Sparse (matmul.cu SDDMM),1.076,0.084,0.125,0.055,0
sparse,1024,768,10,0.9,32,0,Transformer Sparse (matmul.cu SDDMM),1.175,0.162,0.126,0.044,0
