impl,N,d,iters,sparsity,granularity,seed,label,ms_per_iter,sddmm_ms,softmax_ms,spmm_ms,returncode
sparse,1024,768,10,0.5,1,0,Transformer Sparse (matmul.cu SDDMM),3.644,0.26,0.132,0.686,0
sparse,1024,768,10,0.5,1,1,Transformer Sparse (matmul.cu SDDMM),3.691,0.262,0.142,0.679,0
sparse,1024,768,10,0.5,1,2,Transformer Sparse (matmul.cu SDDMM),3.636,0.262,0.132,0.675,0
sparse,1024,768,10,0.5,2,0,Transformer Sparse (matmul.cu SDDMM),2.286,0.197,0.13,0.351,0
sparse,1024,768,10,0.5,2,1,Transformer Sparse (matmul.cu SDDMM),2.265,0.195,0.134,0.347,0
sparse,1024,768,10,0.5,2,2,Transformer Sparse (matmul.cu SDDMM),2.262,0.197,0.13,0.349,0
sparse,1024,768,10,0.5,8,0,Transformer Sparse (matmul.cu SDDMM),1.44,0.201,0.137,0.213,0
sparse,1024,768,10,0.5,8,1,Transformer Sparse (matmul.cu SDDMM),1.434,0.184,0.13,0.215,0
sparse,1024,768,10,0.5,8,2,Transformer Sparse (matmul.cu SDDMM),1.436,0.19,0.139,0.212,0
sparse,1024,768,10,0.5,32,0,Transformer Sparse (matmul.cu SDDMM),1.355,0.18,0.13,0.156,0
sparse,1024,768,10,0.5,32,1,Transformer Sparse (matmul.cu SDDMM),1.368,0.181,0.128,0.158,0
sparse,1024,768,10,0.5,32,2,Transformer Sparse (matmul.cu SDDMM),1.358,0.182,0.131,0.161,0
sparse,1024,768,10,0.9,1,0,Transformer Sparse (matmul.cu SDDMM),2.62,0.154,0.133,0.161,0
sparse,1024,768,10,0.9,1,1,Transformer Sparse (matmul.cu SDDMM),2.615,0.154,0.129,0.162,0
sparse,1024,768,10,0.9,1,2,Transformer Sparse (matmul.cu SDDMM),2.618,0.152,0.136,0.163,0
sparse,1024,768,10,0.9,2,0,Transformer Sparse (matmul.cu SDDMM),1.746,0.113,0.131,0.085,0
sparse,1024,768,10,0.9,2,1,Transformer Sparse (matmul.cu SDDMM),1.749,0.111,0.131,0.087,0
sparse,1024,768,10,0.9,2,2,Transformer Sparse (matmul.cu SDDMM),1.751,0.113,0.131,0.087,0
sparse,1024,768,10,0.9,8,0,Transformer Sparse (matmul.cu SDDMM),1.087,0.092,0.126,0.059,0
sparse,1024,768,10,0.9,8,1,Transformer Sparse (matmul.cu SDDMM),1.102,0.082,0.139,0.059,0
sparse,1024,768,10,0.9,8,2,Transformer Sparse (matmul.cu SDDMM),1.082,0.092,0.125,0.054,0
sparse,1024,768,10,0.9,32,0,Transformer Sparse (matmul.cu SDDMM),1.172,0.162,0.129,0.042,0
sparse,1024,768,10,0.9,32,1,Transformer Sparse (matmul.cu SDDMM),1.179,0.162,0.127,0.044,0
sparse,1024,768,10,0.9,32,2,Transformer Sparse (matmul.cu SDDMM),1.171,0.166,0.131,0.044,0
sparse,1024,768,10,0.95,1,0,Transformer Sparse (matmul.cu SDDMM),2.453,0.133,0.129,0.096,0
sparse,1024,768,10,0.95,1,1,Transformer Sparse (matmul.cu SDDMM),2.455,0.133,0.129,0.092,0
sparse,1024,768,10,0.95,1,2,Transformer Sparse (matmul.cu SDDMM),2.469,0.133,0.132,0.096,0
sparse,1024,768,10,0.95,2,0,Transformer Sparse (matmul.cu SDDMM),1.697,0.098,0.128,0.053,0
sparse,1024,768,10,0.95,2,1,Transformer Sparse (matmul.cu SDDMM),1.689,0.092,0.129,0.052,0
sparse,1024,768,10,0.95,2,2,Transformer Sparse (matmul.cu SDDMM),1.689,0.098,0.137,0.054,0
sparse,1024,768,10,0.95,8,0,Transformer Sparse (matmul.cu SDDMM),1.038,0.059,0.128,0.039,0
sparse,1024,768,10,0.95,8,1,Transformer Sparse (matmul.cu SDDMM),1.038,0.066,0.128,0.039,0
sparse,1024,768,10,0.95,8,2,Transformer Sparse (matmul.cu SDDMM),1.045,0.066,0.13,0.037,0
sparse,1024,768,10,0.95,32,0,Transformer Sparse (matmul.cu SDDMM),1.166,0.16,0.129,0.03,0
sparse,1024,768,10,0.95,32,1,Transformer Sparse (matmul.cu SDDMM),1.164,0.16,0.136,0.027,0
sparse,1024,768,10,0.95,32,2,Transformer Sparse (matmul.cu SDDMM),1.179,0.16,0.134,0.031,0
sparse,1024,768,10,0.99,1,0,Transformer Sparse (matmul.cu SDDMM),2.374,0.123,0.132,0.043,0
sparse,1024,768,10,0.99,1,1,Transformer Sparse (matmul.cu SDDMM),2.423,0.123,0.135,0.043,0
sparse,1024,768,10,0.99,1,2,Transformer Sparse (matmul.cu SDDMM),2.373,0.123,0.134,0.041,0
sparse,1024,768,10,0.99,2,0,Transformer Sparse (matmul.cu SDDMM),1.651,0.07,0.132,0.028,0
sparse,1024,768,10,0.99,2,1,Transformer Sparse (matmul.cu SDDMM),1.653,0.072,0.129,0.026,0
sparse,1024,768,10,0.99,2,2,Transformer Sparse (matmul.cu SDDMM),1.646,0.072,0.135,0.028,0
sparse,1024,768,10,0.99,8,0,Transformer Sparse (matmul.cu SDDMM),1.007,0.055,0.137,0.02,0
sparse,1024,768,10,0.99,8,1,Transformer Sparse (matmul.cu SDDMM),1.011,0.055,0.13,0.02,0
sparse,1024,768,10,0.99,8,2,Transformer Sparse (matmul.cu SDDMM),1.007,0.053,0.129,0.02,0
sparse,1024,768,10,0.99,32,0,Transformer Sparse (matmul.cu SDDMM),1.195,0.156,0.185,0.015,0
sparse,1024,768,10,0.99,32,1,Transformer Sparse (matmul.cu SDDMM),1.197,0.156,0.179,0.018,0
sparse,1024,768,10,0.99,32,2,Transformer Sparse (matmul.cu SDDMM),1.185,0.158,0.168,0.013,0
sparse,4096,768,10,0.5,1,0,Transformer Sparse (matmul.cu SDDMM),22.927,3.304,0.18,10.189,0
sparse,4096,768,10,0.5,1,1,Transformer Sparse (matmul.cu SDDMM),22.947,3.315,0.176,10.188,0
sparse,4096,768,10,0.5,1,2,Transformer Sparse (matmul.cu SDDMM),22.96,3.302,0.175,10.222,0
sparse,4096,768,10,0.5,2,0,Transformer Sparse (matmul.cu SDDMM),13.085,2.486,0.171,4.772,0
sparse,4096,768,10,0.5,2,1,Transformer Sparse (matmul.cu SDDMM),13.063,2.487,0.172,4.768,0
sparse,4096,768,10,0.5,2,2,Transformer Sparse (matmul.cu SDDMM),13.139,2.488,0.172,4.772,0
sparse,4096,768,10,0.5,8,0,Transformer Sparse (matmul.cu SDDMM),8.103,2.118,0.163,2.774,0
sparse,4096,768,10,0.5,8,1,Transformer Sparse (matmul.cu SDDMM),8.073,2.113,0.158,2.784,0
sparse,4096,768,10,0.5,8,2,Transformer Sparse (matmul.cu SDDMM),8.087,2.116,0.165,2.78,0
sparse,4096,768,10,0.5,32,0,Transformer Sparse (matmul.cu SDDMM),6.614,2.011,0.17,2.064,0
sparse,4096,768,10,0.5,32,1,Transformer Sparse (matmul.cu SDDMM),6.608,2.007,0.173,2.061,0
sparse,4096,768,10,0.5,32,2,Transformer Sparse (matmul.cu SDDMM),6.519,1.962,0.167,2.033,0
sparse,4096,768,10,0.9,1,0,Transformer Sparse (matmul.cu SDDMM),12.418,2.05,0.15,2.107,0
sparse,4096,768,10,0.9,1,1,Transformer Sparse (matmul.cu SDDMM),12.423,2.056,0.147,2.107,0
sparse,4096,768,10,0.9,1,2,Transformer Sparse (matmul.cu SDDMM),12.422,2.047,0.147,2.109,0
sparse,4096,768,10,0.9,2,0,Transformer Sparse (matmul.cu SDDMM),7.56,1.463,0.146,0.993,0
sparse,4096,768,10,0.9,2,1,Transformer Sparse (matmul.cu SDDMM),7.596,1.464,0.147,0.995,0
sparse,4096,768,10,0.9,2,2,Transformer Sparse (matmul.cu SDDMM),7.58,1.461,0.149,0.995,0
sparse,4096,768,10,0.9,8,0,Transformer Sparse (matmul.cu SDDMM),4.105,0.561,0.139,0.593,0
sparse,4096,768,10,0.9,8,1,Transformer Sparse (matmul.cu SDDMM),4.109,0.557,0.137,0.593,0
sparse,4096,768,10,0.9,8,2,Transformer Sparse (matmul.cu SDDMM),4.114,0.571,0.139,0.595,0
sparse,4096,768,10,0.9,32,0,Transformer Sparse (matmul.cu SDDMM),3.342,0.502,0.149,0.429,0
sparse,4096,768,10,0.9,32,1,Transformer Sparse (matmul.cu SDDMM),3.347,0.5,0.15,0.432,0
sparse,4096,768,10,0.9,32,2,Transformer Sparse (matmul.cu SDDMM),3.344,0.5,0.156,0.426,0
sparse,4096,768,10,0.95,1,0,Transformer Sparse (matmul.cu SDDMM),11.143,1.929,0.144,1.09,0
sparse,4096,768,10,0.95,1,1,Transformer Sparse (matmul.cu SDDMM),11.124,1.921,0.143,1.091,0
sparse,4096,768,10,0.95,1,2,Transformer Sparse (matmul.cu SDDMM),11.125,1.929,0.141,1.087,0
sparse,4096,768,10,0.95,2,0,Transformer Sparse (matmul.cu SDDMM),6.885,1.346,0.15,0.522,0
sparse,4096,768,10,0.95,2,1,Transformer Sparse (matmul.cu SDDMM),6.914,1.346,0.146,0.524,0
sparse,4096,768,10,0.95,2,2,Transformer Sparse (matmul.cu SDDMM),6.872,1.351,0.146,0.522,0
sparse,4096,768,10,0.95,8,0,Transformer Sparse (matmul.cu SDDMM),3.565,0.305,0.14,0.316,0
sparse,4096,768,10,0.95,8,1,Transformer Sparse (matmul.cu SDDMM),3.562,0.305,0.136,0.315,0
sparse,4096,768,10,0.95,8,2,Transformer Sparse (matmul.cu SDDMM),3.575,0.315,0.138,0.323,0
sparse,4096,768,10,0.95,32,0,Transformer Sparse (matmul.cu SDDMM),2.967,0.33,0.155,0.233,0
sparse,4096,768,10,0.95,32,1,Transformer Sparse (matmul.cu SDDMM),2.972,0.332,0.148,0.234,0
sparse,4096,768,10,0.95,32,2,Transformer Sparse (matmul.cu SDDMM),2.975,0.328,0.161,0.237,0
sparse,4096,768,10,0.99,1,0,Transformer Sparse (matmul.cu SDDMM),9.878,1.759,0.143,0.28,0
sparse,4096,768,10,0.99,1,1,Transformer Sparse (matmul.cu SDDMM),9.95,1.758,0.146,0.283,0
sparse,4096,768,10,0.99,1,2,Transformer Sparse (matmul.cu SDDMM),9.887,1.753,0.142,0.283,0
sparse,4096,768,10,0.99,2,0,Transformer Sparse (matmul.cu SDDMM),5.73,0.737,0.145,0.147,0
