"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.sum","l1tex__throughput.avg.pct_of_peak_sustained_active","sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active","smsp__average_warp_latency_per_inst_issued.ratio","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio","smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio","smsp__average_warps_issue_stalled_drain_per_issue_active.ratio","smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio","smsp__average_warps_issue_stalled_membar_per_issue_active.ratio","smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio","smsp__average_warps_issue_stalled_misc_per_issue_active.ratio","smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio","smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio","smsp__average_warps_issue_stalled_selected_per_issue_active.ratio","smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio","smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio","smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio","smsp__average_warps_issue_stalled_wait_per_issue_active.ratio"
"","","","","","","","","","","","%","%","ms","%","%","cycle","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst"
"0","18929","bench","127.0.0.1","expand_block_mask_kernel(float *, const unsigned char *, int, int, int)","1","7","(16, 16, 1)","(2048, 2048, 1)","0","12.0","68.847027","68.847027","3.626592","18.787491","5.646577","24.939070","0.000000","0.119033","0.206863","0.446576","0.000000","17.740125","0.318378","0","0.144230","0.000000","0.104690","0.722197","1.000000","2.122504","0","0","2.045298"
"1","18929","bench","127.0.0.1","matmul_tiled_kernel(float *, float *, float *, int, int, int)","1","7","(32, 32, 1)","(24, 1024, 1)","0","12.0","93.722388","2.134757","4.234176","94.480926","9.059872","32.347759","1.377221","0.068741","0.095918","0.014213","0.584557","2.086751","0.094357","0","21.101590","0.000000","0.085825","3.114084","1.000000","0.928753","0","0","1.790978"
"2","18929","bench","127.0.0.1","matmul_tiled_kernel(float *, float *, float *, int, int, int)","1","7","(32, 32, 1)","(24, 1024, 1)","0","12.0","93.754097","2.141719","4.231872","94.478790","9.059597","32.351228","1.374520","0.068740","0.095903","0.014216","0.584685","2.100527","0.094361","0","21.101534","0.000000","0.085820","3.114153","1.000000","0.928736","0","0","1.791008"
"3","18929","bench","127.0.0.1","matmul_tiled_kernel(float *, float *, float *, int, int, int)","1","7","(32, 32, 1)","(24, 1024, 1)","0","12.0","93.707211","2.130869","4.233056","94.473096","9.058996","32.342410","1.379525","0.068739","0.095867","0.014215","0.584484","2.080330","0.094385","0","21.099761","0.000000","0.085823","3.114104","1.000000","0.928870","0","0","1.790995"
"4","18929","bench","127.0.0.1","transpose_kernel(float *, float *, int, int)","1","7","(16, 16, 1)","(48, 2048, 1)","0","12.0","89.706608","74.808949","0.116704","54.938528","0.904476","87.882967","0.000000","0.348115","0.055963","8.692564","0.002387","67.115003","0.028294","0","1.958431","0.000000","0.506542","0.413796","1.000000","5.122784","0","0","2.436149"
"5","18929","bench","127.0.0.1","scale_Q_kernel(float *, int, float)","1","7","(256, 1, 1)","(98304, 1, 1)","0","12.0","92.043035","92.043035","0.078272","22.528636","1.320379","88.029623","0.000000","0.501637","0.139910","1.661971","0.000000","77.516886","0.003262","0","0.218239","0.000000","0.668831","0.171610","1.000000","4.149951","0","0","2.917924"
"6","18929","bench","127.0.0.1","build_tile_mask_kernel(const float *, bool *, int, int, int)","1","7","(16, 16, 1)","(256, 256, 1)","0","12.0","87.337832","87.337832","2.766336","23.011842","1.433312","139.176833","0.000000","0.519007","0.031720","0.051305","0.000000","135.986681","0.007450","0","0.015850","0.018664","0.262014","0.047743","1.000000","0.364355","0","0","4.528372"
"7","18929","bench","127.0.0.1","bcsr_pass1_kernel(const bool *, int, int, int *)","1","7","(256, 1, 1)","(16, 1, 1)","0","12.0","8.380268","2.088047","0.470336","99.149535","0.000756","59.650815","0.000000","0.044225","0.002831","0.032791","31.096942","21.380579","0.001049","0","0.000000","0.000000","0.058648","0.143617","1.000000","0.007996","0","0","1.772994"
"8","18929","bench","127.0.0.1","bcsr_pass2_kernel(const bool *, int, int, const int *, int *, int *, int *)","1","7","(256, 1, 1)","(16, 1, 1)","0","12.0","13.711389","3.193026","2.004800","71.517862","0.185960","71.820283","0.000000","0.381267","0.119086","0.003856","5.714833","61.046285","0.001389","0","0.000000","0.000015","0.100082","0.024924","1.000000","0.676486","0","0","2.589246"
"9","18929","bench","127.0.0.1","bcsr_pass1_kernel(const bool *, int, int, int *)","1","7","(256, 1, 1)","(16, 1, 1)","0","12.0","8.374599","2.083990","0.471200","99.320532","0.000758","59.627269","0.000000","0.044225","0.002975","0.032456","35.019700","17.269943","0.000571","0","0.000000","0.000000","0.058480","0.134285","1.000000","0.008052","0","0","1.773213"
